epoch,train_loss,val_loss,train_dice,val_dice
1,0.452691583186388,0.3279329216480255,0.7177775498479605,0.8655086421966552
2,0.3157715078443289,0.2564709681272507,0.8212955319881439,0.8749655771255493
3,0.2434101165831089,0.210739643573761,0.863018415570259,0.8900194144248963
4,0.20313934803009034,0.18385209500789643,0.8664543080329895,0.8784083056449891
5,0.16208971086889506,0.15116265892982483,0.8837605455517769,0.8886982226371765
6,0.13683997206389903,0.13164325475692748,0.8902818964421749,0.8888269495964051
7,0.11857952475547791,0.12331987887620927,0.8940056654810905,0.8795392560958862
8,0.10552914811298252,0.10568608984351158,0.8980460488796234,0.8898978638648987
9,0.09453243536874652,0.10108663052320481,0.9023162433505059,0.8868767929077148
10,0.08069909293204545,0.10531162858009338,0.9150388911366463,0.8750276899337769
11,0.07354907879605889,0.08804983988404275,0.9180609580874443,0.8968282842636108
12,0.06886099517345429,0.08637908399105072,0.9175240430235863,0.8943701171875
13,0.06700498480349779,0.07799293205142022,0.9185440191626548,0.8957972002029418
14,0.06040089400485158,0.0781808316707611,0.9256149950623512,0.8997068500518799
15,0.05410604524426162,0.08445260837674141,0.9314949467778206,0.8854991483688355
16,0.05582495305687189,0.0726344085484743,0.9239981907606125,0.897044529914856
17,0.05149324456229806,0.07062945678830147,0.9327115675807,0.9093549203872681
18,0.0475672020483762,0.07086115404963493,0.9363094824552536,0.9073386907577514
19,0.04550410958006978,0.0682427141815424,0.9410135900974274,0.9116551828384399
20,0.044203476272523405,0.06852802358567715,0.9430748173594474,0.9061769080162049
21,0.04234819350764155,0.07353937163949013,0.9405124455690383,0.9022847032546997
22,0.042424195213243365,0.06556311503052711,0.9428002658486366,0.9144480538368225
23,0.037427153652533886,0.07289084665477276,0.9500162434577942,0.9061087703704834
24,0.04285757647827268,0.07816102169454098,0.9434068953990936,0.8988434481620788
25,0.037076545283198356,0.07482119619846345,0.9500294986367226,0.9062414979934692
26,0.03617095394991338,0.07109393551945686,0.9502545696496963,0.907822048664093
27,0.036097090588882566,0.06884378738701344,0.9504808634519577,0.9084632611274719
28,0.0349525258410722,0.07344020947813988,0.9520080718398094,0.9017715263366699
29,0.032573101138696076,0.07015377633273602,0.9564452853798866,0.906640202999115
30,0.03633776674978435,0.07579750329256058,0.9504444181919098,0.9006338119506836
